ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
1,[24]7 Plaza,IT Center,Operating,"106 Valero Street, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.020589026066, 14.558667142472)",121.020589026066,14.558667142472
2,1 Nito Tower [formerly Mikado],IT Center,Operating,"Archbishop Reyes Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.903215091716, 10.319096795543)",123.903215091716,10.319096795543
3,2251 IT Hub,IT Center,Operating,"Pasong Tamo Extension, San Lorenzo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.018240180211, 14.54132945069)",121.018240180211,14.54132945069
4,500 Shaw Zentrum,IT Center,Operating,"Shaw Boulevard, Barangay Pleasant Hill, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.041240741234, 14.589249035386)",121.041240741234,14.589249035386
5,6750 Ayala Avenue Building,IT Center,Operating,"Ayala Avenue, Ayala Center, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.020284452404, 14.55730061151)",121.020284452404,14.55730061151
6,6780 Ayala,IT Center,Operating,"6780 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.018717932058, 14.558096627965)",121.018717932058,14.558096627965
7,6788 Ayala Avenue Building,IT Center,Operating,"6788 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.017379174483, 14.558459354825)",121.017379174483,14.558459354825
9,A.T. Yuchengco Centre [formerly RCBC Savings Bank Corporate Center],IT Center,Operating,"Lot 3, Block 9, along 26th and 25th Streets, Bonifacio South, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
10,Abreeza Corporate Center,IT Center,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.613141843149, 7.07771597599)",125.613141843149,7.07771597599
11,Aeon Center,IT Center,Operating,"Filinvest Corporate City, Alabang-Zapote Road corner North Bridgeway, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.039341437183, 14.422641216974)",121.039341437183,14.422641216974
12,AG&P Special Economic Zone,Manufacturing,Operating,"Barangays San Roque, San Andres, Manghinao, & Sto. Domingo, Bauan, Batangas",Bauan,Bauan,PH041006000,Batangas,PH041000000,Region IV-A,PH040000000,"c(120.98561, 13.7917023)",120.98561,13.7917023
13,Agrotex Gensan Economic Zone,Agro-Industrial,Operating,"Barangay Tambler, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000,"c(125.142049154048, 6.059019276156)",125.142049154048,6.0590192761559996
14,AJMR Agro-Industrial Economic Zone,Agro-Industrial,Operating,"AJMR Port Complex, Km. 20 Tibungco, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.6444437, 7.1958224)",125.6444437,7.1958224
15,Alcos Global I.T. Park,IT Park,Operating,"Industria corner Economia Street, Bagumbayan, Quezon City",Bagumbayan,Bagumbayan,PH126501000,Sultan Kudarat,PH126500000,Region XII,PH120000000,"c(121.08192703737, 14.60544620855)",121.08192703737,14.60544620855
16,ALLBANK [Formerly Polar Center EDSA ],IT Center,Operating,"EDSA corner Cornell Street, Barangay Wack-Wack, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.054724576443, 14.58304850598)",121.054724576443,14.58304850598
17,Allegis Information Technology Park,IT Park,Operating,"Tulo, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.1547242, 14.2047764)",121.1547242,14.2047764
18,Allegro Center,IT Center,Operating,"2248 Pasong Tamo Extension, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.021247489491, 14.535731634198)",121.021247489491,14.535731634198
